time,actual_kwh,sarima_forecast_kwh,sarima_pso_tcn_forecast_kwh,sarima_ga_tcn_forecast_kwh,pso_tcn_correction_kwh,ga_tcn_correction_kwh,pso_forecast_error_kwh,ga_forecast_error_kwh
2022-09-29 12:00:00,49.210975624140815,83.81065081476176,68.18143536195355,71.59824380458895,-15.62921545280821,-12.21240701017281,-18.97045973781273,-22.38726818044813
2022-09-29 13:00:00,54.85313193897466,81.14906384407747,45.08894418875855,42.77268217099283,-36.06011965531892,-38.376381673084644,9.76418775021611,12.080449767981833
2022-09-29 14:00:00,41.59021575948882,75.38543395586005,58.06778264983303,56.46687576635351,-17.317651306027024,-18.91855818950654,-16.477566890344207,-14.87666000686469
2022-09-29 15:00:00,56.34382257697824,70.49549394884018,44.90741956887502,43.71815899606678,-25.588074379965157,-26.7773349527734,11.43640300810322,12.625663580911464
2022-09-29 16:00:00,82.53613669661883,69.01897612621099,66.9687181418741,65.52493761923442,-2.0502579843368807,-3.4940385069765654,15.56741855474472,17.011199077384404
2022-09-29 17:00:00,86.62995461763984,74.54464297069204,88.21692903444779,89.99646195573023,13.672286063755749,15.451818985038187,-1.5869744168079478,-3.3665073380903863
2022-09-29 18:00:00,77.65304148000567,78.08619202864692,83.14843948332026,87.89122822684566,5.06224745467334,9.805036198198735,-5.495398003314591,-10.238186746839986
2022-09-29 19:00:00,56.36803499174199,67.15733803015047,58.81198070349252,66.39976490102833,-8.345357326657947,-0.7575731291221359,-2.44394571175053,-10.03172990928634
2022-09-29 20:00:00,33.0444054878797,45.58959959302842,31.23563253231781,32.97037074315808,-14.353967060710609,-12.619228849870339,1.808772955561892,0.0740347447216223
2022-09-29 21:00:00,13.790425901943465,28.9248845801902,18.27937863378613,19.16295704033811,-10.645505946404068,-9.761927539852088,-4.488952731842666,-5.3725311383946455
2022-09-29 22:00:00,7.594432812290799,16.660611601469316,5.389494056708375,4.2331068930628994,-11.27111754476094,-12.427504708406417,2.2049387555824245,3.3613259192279
2022-09-29 23:00:00,6.25540287217104,12.06867686069252,6.369204317682004,7.300462066279197,-5.699472543010516,-4.768214794413323,-0.11380144551096372,-1.0450591941081564
2022-09-30 00:00:00,5.231438800314752,10.262502526172836,5.245664148167211,5.883616676268386,-5.016838378005626,-4.37888584990445,-0.014225347852458547,-0.6521778759536341
2022-09-30 01:00:00,5.231438800314752,8.679179837820135,5.588006643672657,5.1692013122495855,-3.091173194147477,-3.509978525570549,-0.35656784335790537,0.0622374880651666
2022-09-30 02:00:00,5.231438800314752,7.9319070718642655,6.494132848070543,6.298533739262664,-1.4377742237937223,-1.6333733326016011,-1.262694047755791,-1.0670949389479123
2022-09-30 03:00:00,5.231438800314752,7.700011482547672,12.250702104350491,9.766784275965646,4.550690621802819,2.0667727934179743,-7.019263304035739,-4.535345475650894
2022-09-30 04:00:00,5.231438800314752,7.7252999782409795,7.1715593866892045,8.90626713049273,-0.553740591551775,1.1809671522517498,-1.9401205863744524,-3.674828330177977
2022-09-30 05:00:00,10.049917061184315,9.1966961649109,2.087756939666023,5.655900912204671,-7.108939225244877,-3.5407952527062294,7.962160121518292,4.394016148979644
2022-09-30 06:00:00,26.99621716457443,17.327425861274683,18.38794320655685,18.945597713004712,1.0605173452821681,1.618171851730029,8.608273958017577,8.050619451569716
2022-09-30 07:00:00,56.03447180328276,35.76237476322185,39.84897221689455,43.798152655665056,4.086597453672702,8.035777892443207,16.18549958638821,12.236319147617706
2022-09-30 08:00:00,46.1648878121315,48.887400051123,61.37655664059963,66.38869953522352,12.489156589476629,17.50129948410052,-15.211668828468135,-20.223811723092027
2022-09-30 09:00:00,75.65283130979185,73.35185305182665,68.94068512548643,69.01155543147627,-4.411167926340227,-4.340297620350384,6.712146184305425,6.641275878315582
2022-09-30 10:00:00,79.40941940188446,81.76249760274504,85.38894438566146,84.92544338784009,3.6264467829164175,3.1629457850950473,-5.979524983776997,-5.516023985955627
2022-09-30 11:00:00,88.10903346666723,83.88094102165644,74.26890962744227,74.38435352228798,-9.61203139421417,-9.49658749936846,13.840123839224958,13.724679944379247
2022-09-30 12:00:00,98.59758132477448,83.88139632810463,86.71192747789553,87.12927583583617,2.8305311497909003,3.2478795077315397,11.885653846878952,11.468305488938313
2022-09-30 13:00:00,86.43932765739882,81.19870895959312,90.4034310415218,95.71083826039302,9.20472208192868,14.512129300799899,-3.9641033841229785,-9.271510602994198
2022-09-30 14:00:00,75.1935503146359,75.42629222695724,77.20640454542651,82.36915783353949,1.7801123184692642,6.942865606582245,-2.0128542307906088,-7.17560751890359
2022-09-30 15:00:00,78.32975390264069,70.51739764477816,70.98208444898513,72.97774089676942,0.46468680420697694,2.4603432519912616,7.347669453655556,5.352013005871271
2022-09-30 16:00:00,63.01188620856294,69.02631256720552,78.65127622389099,79.63885464561606,9.624963656685466,10.612542078410542,-15.639390015328047,-16.626968437053122
2022-09-30 17:00:00,35.86285432073066,74.56137043072093,68.0111954030665,69.53462890470175,-6.550175027654433,-5.02674152601918,-32.14834108233583,-33.671774583971086
2022-09-30 18:00:00,38.596066543253976,78.09801468609567,42.98905288455887,41.440082771242544,-35.10896180153679,-36.65793191485312,-4.392986341304898,-2.8440162279885683
2022-09-30 19:00:00,50.647258946460525,67.17500686498634,38.53205903764687,37.23407197575844,-28.642947827339476,-29.940934889227904,12.115199908813658,13.413186970702085
2022-09-30 20:00:00,62.71324699474535,45.605399911057546,38.60271295835528,36.52866199817925,-7.002686952702263,-9.076737912878293,24.110534036390064,26.184584996566095
2022-09-30 21:00:00,47.07167598786789,28.93618748131973,50.205542859979055,49.16620272267994,21.269355378659323,20.23001524136021,-3.133866872111163,-2.0945267348120495
2022-09-30 22:00:00,6.203197256794414,16.662465433762332,30.730187250684864,33.7807387761452,14.067721816922532,17.118273342382867,-24.52698999389045,-27.577541519350785
2022-09-30 23:00:00,9.0761201598582,12.069711119526444,2.2889187255525365,2.628239013124183,-9.780792393973908,-9.44147210640226,6.787201434305665,6.447881146734018
2022-10-01 00:00:00,9.0761201598582,10.262546783408988,13.144731810121511,10.323278476211232,2.8821850267125235,0.06073169280224455,-4.0686116502633105,-1.2471583163530315
2022-10-01 01:00:00,9.0761201598582,8.679487400682373,6.812411898956942,6.681376628927458,-1.8670755017254308,-1.9981107717549147,2.263708260901259,2.394743530930743
2022-10-01 02:00:00,9.0761201598582,7.934402137215335,9.428860335228055,11.058558673132406,1.4944581980127207,3.1241565359170718,-0.35274017536985447,-1.9824385132742055
2022-10-01 03:00:00,9.0761201598582,7.702367509302681,6.340573259063964,11.683181317430993,-1.3617942502387166,3.980813808128312,2.735546900794237,-2.607061157572792
2022-10-01 04:00:00,9.0761201598582,7.727653652356417,7.670983079445678,14.478161068077664,-0.05667057291073885,6.7505074157212475,1.4051370804125227,-5.402040908219464
2022-10-01 05:00:00,9.0761201598582,9.199765292770016,7.695590518082179,11.762025284686208,-1.5041747746878364,2.562259991916193,1.3805296417760218,-2.6859051248280075
2022-10-01 06:00:00,12.493009048747089,17.334491885537982,18.751695938733757,20.407768260690016,1.4172040531957748,3.073276375152034,-6.258686889986668,-7.914759211942927
2022-10-01 07:00:00,20.01744840521628,35.77272539761614,33.528069710817384,31.99780133257389,-2.244655686798758,-3.774924065042253,-13.510621305601102,-11.980352927357607
2022-10-01 08:00:00,42.33700697608828,48.89469978393102,36.481504322419646,35.736734991665394,-12.413195461511371,-13.157964792265624,5.855502653668637,6.600271984422889
2022-10-01 09:00:00,66.40968012515978,73.36315310320045,69.43409221603763,71.85007493903483,-3.9290608871628194,-1.51307816416562,-3.0244120908778456,-5.440394813875045
2022-10-01 10:00:00,83.81176086459047,81.76962226111259,78.80739854900112,75.43375090417733,-2.9622237121114665,-6.335871356935257,5.004362315589347,8.378009960413138
2022-10-01 11:00:00,73.50975427651332,83.88625499772535,90.31375444956404,91.78628852605362,6.427499451838699,7.900033528328279,-16.804000173050724,-18.276534249540305
2022-10-01 12:00:00,81.59354561992862,83.88600602765538,76.08720849467149,76.67864591938257,-7.798797532983897,-7.207360108272809,5.506337125257133,4.914899700546044
2022-10-01 13:00:00,89.44166919917387,81.20284530193057,91.0343934757772,87.42451950447919,9.831548173846627,6.221674202548627,-1.5927242766033203,2.0171496946946803
2022-10-01 14:00:00,67.33182868049843,75.43023144901707,84.41410164597784,86.39323784039955,8.983870196960765,10.963006391382478,-17.082272965479405,-19.061409159901118
2022-10-01 15:00:00,67.72223163766294,70.5209116480968,61.96053535589128,61.14259823236229,-8.560376292205518,-9.37831341573451,5.761696281771663,6.579633405300655
2022-10-01 16:00:00,33.589425138456576,69.02949977502865,65.55150158706259,68.04062739417242,-3.4779981879660653,-0.9888723808562361,-31.962076448606012,-34.45120225571584
2022-10-01 17:00:00,40.88893756418211,74.56476831259623,36.370228991297,39.98375440030509,-38.19453932129923,-34.58101391229114,4.51870857288511,0.9051831638770196
2022-10-01 18:00:00,63.73847259693783,78.10130253575166,54.90852941450855,56.78011927255877,-23.192773121243107,-21.321183263192886,8.829943182429282,6.958353324379061
2022-10-01 19:00:00,53.27297298903534,67.17842586525367,58.91291018288415,59.13202827359587,-8.265515682369525,-8.0463975916578,-5.639937193848809,-5.859055284560533
2022-10-01 20:00:00,42.44061163172969,45.60877699382719,38.636795788676565,38.59693108451069,-6.971981205150627,-7.011845909316499,3.8038158430531226,3.8436805472189945
2022-10-01 21:00:00,17.617919494277984,28.939463670985425,29.930639297001207,31.50469184328585,0.9911756260157816,2.5652281723004258,-12.312719802723223,-13.886772349007867
