Model,MAE,RMSE,SMAPE,R2
SARIMA,0.07532840794317147,0.10396201236576019,45.94122699534228,0.5988063893723437
SARIMA-PSO-TCN,0.04052298306656705,0.056740113519003404,29.741413818129814,0.8804952813699689
SARIMA-GA-TCN,0.04250797174475059,0.058708988147468257,30.72229700634211,0.8720577913239969
