timestamp,actual_scaled,sarima_forecast_scaled,sarima_pso_tcn_scaled,sarima_ga_tcn_scaled,actual_kwh,sarima_forecast_kwh,sarima_pso_tcn_kwh,sarima_ga_tcn_kwh,actual_residual_scaled,pso_residual_pred_scaled,ga_residual_pred_scaled,actual_residual_kwh,pso_residual_pred_kwh,ga_residual_pred_kwh,sarima_error_scaled,pso_hybrid_error_scaled,ga_hybrid_error_scaled,sarima_error_kwh,pso_hybrid_error_kwh,ga_hybrid_error_kwh,sarima_abs_error_kwh,pso_abs_error_kwh,ga_abs_error_kwh,sarima_sq_error_kwh,pso_sq_error_kwh,ga_sq_error_kwh,pso_relative_error,ga_relative_error
2022-09-29 12:00:00,0.21887435645324393,0.3727624179027602,0.3032487691543624,0.31844561781506986,49.210975624140815,83.81065081476176,68.18143536195355,71.59824380458895,-0.15388806144951628,-0.06951364874839783,-0.05431680008769035,-34.59967519062094,-15.62921545280821,-12.21240701017281,-0.15388806144951628,-0.08437441270111845,-0.09957126136182592,-34.59967519062094,-18.97045973781273,-22.38726818044813,34.59967519062094,18.97045973781273,22.38726818044813,1197.1375232964704,359.8783426639739,501.1897765833054,-0.38549245360839035,-0.4549242906996115
2022-09-29 13:00:00,0.2439688260660769,0.36092454783486655,0.20054090611504843,0.19023892871903708,54.85313193897466,81.14906384407747,45.088944188758546,42.77268217099283,-0.11695572176878966,-0.16038364171981812,-0.17068561911582947,-26.29593190510281,-36.06011965531893,-38.376381673084644,-0.11695572176878966,0.04342791995102846,0.05372989734703981,-26.29593190510281,9.764187750216117,12.080449767981833,26.29593190510281,9.764187750216117,12.080449767981833,691.476034757804,95.33936242147047,145.93726659673231,0.17800602089738457,0.22023263469115315
2022-09-29 14:00:00,0.1849797040935746,0.33528980341822817,0.2582665431228371,0.2511462318626137,41.59021575948882,75.38543395586005,58.06778264983303,56.46687576635351,-0.15031009932465358,-0.07702326029539108,-0.08414357155561447,-33.79521819637123,-17.317651306027024,-18.91855818950654,-0.15031009932465358,-0.0732868390292625,-0.06616652776903911,-33.79521819637123,-16.477566890344207,-14.87666000686469,33.79521819637123,16.477566890344207,14.87666000686469,1142.1167729403412,271.5102106257676,221.3150129598473,-0.39618854072871323,-0.35769614884651263
2022-09-29 15:00:00,0.2505989314424851,0.31354094640905295,0.19973354385787878,0.19444410102064047,56.34382257697824,70.49549394884018,44.90741956887502,43.71815899606678,-0.06294201496656787,-0.11380740255117416,-0.11909684538841248,-14.151671371861937,-25.588074379965157,-26.7773349527734,-0.06294201496656787,0.05086538758460629,0.056154830421844604,-14.151671371861937,11.43640300810322,12.625663580911464,14.151671371861937,11.43640300810322,12.625663580911464,200.2698026171767,130.79131376375238,159.4073808583541,0.2029752772360899,0.22408248151182836
2022-09-29 16:00:00,0.36709379512377466,0.30697387708923285,0.29785499880662625,0.2914335343112654,82.53613669661883,69.01897612621099,66.9687181418741,65.52493761923442,0.06011991803454181,-0.009118878282606602,-0.015540342777967453,13.517160570407839,-2.0502579843368807,-3.4940385069765654,0.06011991803454181,0.06923879631714841,0.07566026081250926,13.517160570407839,15.56741855474472,17.011199077384404,13.517160570407839,15.56741855474472,17.011199077384404,182.71362988618836,242.34452045861016,289.380894050404,0.18861336594862035,0.20610607375425272
2022-09-29 17:00:00,0.38530176095936103,0.3315502395616632,0.3923601051555734,0.400274886726008,86.62995461763984,74.54464297069204,88.21692903444779,89.99646195573023,0.05375152139769784,0.06080986559391022,0.06872464716434479,12.085311646947801,13.672286063755749,15.451818985038187,0.05375152139769784,-0.007058344196212374,-0.014973125766646944,12.085311646947801,-1.5869744168079478,-3.3665073380903863,12.085311646947801,1.5869744168079478,3.3665073380903863,146.05475760385218,2.518487799602926,11.333371657416418,-0.018319003210984064,-0.03886077688657692
2022-09-29 18:00:00,0.34537538150809705,0.34730189376230064,0.369817118055175,0.39091149427647415,77.65304148000567,78.08619202864692,83.14843948332026,87.89122822684566,-0.001926512254203594,0.022515224292874336,0.04360960051417351,-0.433150548641251,5.06224745467334,9.805036198198735,-0.001926512254203594,-0.02444173654707793,-0.0455361127683771,-0.433150548641251,-5.495398003314591,-10.238186746839986,0.433150548641251,5.495398003314591,10.238186746839986,0.18761939778821676,30.199399214833996,104.82046786316994,-0.07076861251763798,-0.13184527678128544
2022-09-29 19:00:00,0.2507066203600971,0.2986939185016164,0.26157649314928144,0.29532448050531834,56.36803499174199,67.15733803015047,58.81198070349252,66.39976490102833,-0.04798729814151931,-0.037117425352334976,-0.0033694379962980747,-10.789303038408477,-8.345357326657947,-0.7575731291221359,-0.04798729814151931,-0.010869872789184332,-0.04461786014522123,-10.789303038408477,-2.44394571175053,-10.03172990928634,10.789303038408477,2.44394571175053,10.03172990928634,116.40906005461039,5.972870641983804,100.63560497287014,-0.043356943560451805,-0.17796841615564576
2022-09-29 20:00:00,0.14697072947262843,0.2027676579325973,0.13892589777405848,0.146641447094041,33.0444054878797,45.589599593028424,31.23563253231781,32.97037074315808,-0.055796928459968864,-0.06384176015853882,-0.05612621083855629,-12.545194105148724,-14.353967060710616,-12.619228849870346,-0.055796928459968864,0.008044831698569954,0.0003292823785874255,-12.545194105148724,1.808772955561892,0.0740347447216223,12.545194105148724,1.808772955561892,0.0740347447216223,157.3818951358583,3.2716596047721027,0.005481143425995781,0.054737645566821556,0.002240462300003472
2022-09-29 21:00:00,0.06133531303174037,0.1286484451421404,0.08130070952855589,0.08523057786904814,13.790425901943465,28.9248845801902,18.27937863378613,19.16295704033811,-0.06731313211040005,-0.04734773561358452,-0.04341786727309227,-15.134458678246734,-10.645505946404068,-9.761927539852088,-0.06731313211040005,-0.019965396496815523,-0.02389526483730777,-15.134458678246734,-4.488952731842666,-5.3725311383946455,15.134458678246734,4.488952731842666,5.3725311383946455,229.05183948355787,20.150696628717732,28.864090833020065,-0.32551226218546625,-0.38958413442745826
