
params={'nb_filters': 32, 'kernel_size': 3, 'dropout_rate': 0.2911454626290857, 'dense_units_1': 128, 'dense_units_2': 16, 'dense_dropout_1': 0.33982007216196575, 'dense_dropout_2': 0.3784013229142147, 'dilation_mode': 'long', 'learning_rate': 0.0001, 'batch_size': 32, 'activation_type': 'leaky_relu', 'loss_function': 'mse', 'epochs': 30}, val_rmse=15.454666, val_mae=11.421967, val_r2=0.485145, time=173.37s
params={'nb_filters': 32, 'kernel_size': 3, 'dropout_rate': 0.2202962737200685, 'dense_units_1': 128, 'dense_units_2': 32, 'dense_dropout_1': 0.1541131596787683, 'dense_dropout_2': 0.48290595606560105, 'dilation_mode': 'long', 'learning_rate': 0.0005, 'batch_size': 16, 'activation_type': 'relu', 'loss_function': 'mse', 'epochs': 30}, val_rmse=22.012301, val_mae=17.091932, val_r2=-0.044472, time=277.04s
params={'nb_filters': 64, 'kernel_size': 5, 'dropout_rate': 0.380620838656019, 'dense_units_1': 128, 'dense_units_2': 16, 'dense_dropout_1': 0.2060092516184171, 'dense_dropout_2': 0.3264999832780505, 'dilation_mode': 'medium', 'learning_rate': 0.0005, 'batch_size': 32, 'activation_type': 'relu', 'loss_function': 'huber', 'epochs': 30}, val_rmse=23.075362, val_mae=17.014753, val_r2=-0.147791, time=170.26s
params={'nb_filters': 32, 'kernel_size': 3, 'dropout_rate': 0.26053895071048516, 'dense_units_1': 64, 'dense_units_2': 16, 'dense_dropout_1': 0.33876611968275155, 'dense_dropout_2': 0.23140455855181194, 'dilation_mode': 'medium', 'learning_rate': 0.0001, 'batch_size': 32, 'activation_type': 'leaky_relu', 'loss_function': 'huber', 'epochs': 30}, val_rmse=14.867706, val_mae=10.807680, val_r2=0.523510, time=173.98s
params={'nb_filters': 128, 'kernel_size': 3, 'dropout_rate': 0.4279057134041965, 'dense_units_1': 64, 'dense_units_2': 64, 'dense_dropout_1': 0.27563469088210873, 'dense_dropout_2': 0.2185000649281985, 'dilation_mode': 'short', 'learning_rate': 0.0001, 'batch_size': 32, 'activation_type': 'relu', 'loss_function': 'huber', 'epochs': 30}, val_rmse=14.863370, val_mae=10.747226, val_r2=0.523788, time=202.43s
params={'nb_filters': 32, 'kernel_size': 3, 'dropout_rate': 0.2381296150477285, 'dense_units_1': 64, 'dense_units_2': 32, 'dense_dropout_1': 0.14459519902041273, 'dense_dropout_2': 0.2105767723865241, 'dilation_mode': 'short', 'learning_rate': 0.0001, 'batch_size': 16, 'activation_type': 'relu', 'loss_function': 'mse', 'epochs': 30}, val_rmse=14.652581, val_mae=10.920243, val_r2=0.537199, time=269.86s
2026/03/09 06:35:15 PM, INFO, mealpy.swarm_based.PSO.OriginalPSO: >>>Problem: P, Epoch: 1, Current best: 14.652581441596348, Global best: 14.652581441596348, Runtime: 2441.05635 seconds
params={'nb_filters': 128, 'kernel_size': 3, 'dropout_rate': 0.33951560685599885, 'dense_units_1': 64, 'dense_units_2': 16, 'dense_dropout_1': 0.11156810955429103, 'dense_dropout_2': 0.13047333470241151, 'dilation_mode': 'medium', 'learning_rate': 0.0003, 'batch_size': 16, 'activation_type': 'relu', 'loss_function': 'mse', 'epochs': 30}, val_rmse=22.128340, val_mae=17.056029, val_r2=-0.055513, time=362.29s
params={'nb_filters': 32, 'kernel_size': 5, 'dropout_rate': 0.241439689381701, 'dense_units_1': 64, 'dense_units_2': 32, 'dense_dropout_1': 0.14227913813346477, 'dense_dropout_2': 0.21709551248188785, 'dilation_mode': 'long', 'learning_rate': 0.001, 'batch_size': 16, 'activation_type': 'leaky_relu', 'loss_function': 'huber', 'epochs': 30}, val_rmse=15.580152, val_mae=11.562086, val_r2=0.476750, time=339.44s
params={'nb_filters': 32, 'kernel_size': 2, 'dropout_rate': 0.2229319636758502, 'dense_units_1': 32, 'dense_units_2': 32, 'dense_dropout_1': 0.3983483861184225, 'dense_dropout_2': 0.18402783900181202, 'dilation_mode': 'long', 'learning_rate': 0.0005, 'batch_size': 16, 'activation_type': 'relu', 'loss_function': 'huber', 'epochs': 30}, val_rmse=15.027818, val_mae=11.179679, val_r2=0.513192, time=304.83s
params={'nb_filters': 32, 'kernel_size': 2, 'dropout_rate': 0.2955378912922988, 'dense_units_1': 64, 'dense_units_2': 32, 'dense_dropout_1': 0.18206676857553025, 'dense_dropout_2': 0.2775340794332868, 'dilation_mode': 'medium', 'learning_rate': 0.0003, 'batch_size': 16, 'activation_type': 'leaky_relu', 'loss_function': 'mse', 'epochs': 30}, val_rmse=15.119160, val_mae=11.374634, val_r2=0.507256, time=260.95s
params={'nb_filters': 32, 'kernel_size': 7, 'dropout_rate': 0.2277656655897658, 'dense_units_1': 32, 'dense_units_2': 16, 'dense_dropout_1': 0.1512411201315622, 'dense_dropout_2': 0.4990502412658734, 'dilation_mode': 'long', 'learning_rate': 0.0001, 'batch_size': 16, 'activation_type': 'leaky_relu', 'loss_function': 'mse', 'epochs': 30}, val_rmse=15.092021, val_mae=11.248147, val_r2=0.509023, time=336.96s
params={'nb_filters': 128, 'kernel_size': 2, 'dropout_rate': 0.4054383315736676, 'dense_units_1': 32, 'dense_units_2': 32, 'dense_dropout_1': 0.13041141671015719, 'dense_dropout_2': 0.3346367579220836, 'dilation_mode': 'long', 'learning_rate': 0.0005, 'batch_size': 16, 'activation_type': 'leaky_relu', 'loss_function': 'mse', 'epochs': 30}, val_rmse=15.443637, val_mae=11.448678, val_r2=0.485879, time=434.40s
params={'nb_filters': 128, 'kernel_size': 3, 'dropout_rate': 0.3661409710785368, 'dense_units_1': 128, 'dense_units_2': 16, 'dense_dropout_1': 0.2936510373975618, 'dense_dropout_2': 0.25089723222925175, 'dilation_mode': 'long', 'learning_rate': 0.001, 'batch_size': 16, 'activation_type': 'leaky_relu', 'loss_function': 'mse', 'epochs': 30}, val_rmse=15.693981, val_mae=11.832195, val_r2=0.469076, time=468.08s
params={'nb_filters': 128, 'kernel_size': 3, 'dropout_rate': 0.17986370918217826, 'dense_units_1': 32, 'dense_units_2': 64, 'dense_dropout_1': 0.3274970480959988, 'dense_dropout_2': 0.21042234367973767, 'dilation_mode': 'medium', 'learning_rate': 0.0001, 'batch_size': 16, 'activation_type': 'leaky_relu', 'loss_function': 'mse', 'epochs': 30}, val_rmse=14.894774, val_mae=11.023034, val_r2=0.521773, time=385.04s
